ID,DATE,ELEMENT,DATA_VALUE,M_FLAG,Q_FLAG,S_FLAG,OBS_TIME
CA00303C642,19850716,PRCP,152,,,C,
CA00303C642,19850717,PRCP,80,,,C,
CA00303C642,19850718,PRCP,0,,,C,
CA00303C642,19850719,PRCP,0,,,C,
CA00303C642,19850720,PRCP,0,,,C,
CA00303C642,19850721,PRCP,0,,,C,
CA00303C642,19850722,PRCP,28,,,C,
CA00303C642,19850723,PRCP,60,,,C,
CA00303C642,19850724,PRCP,14,,,C,
CA00303C642,19850725,PRCP,0,,,C,
CA00303C642,19850726,PRCP,0,,,C,
CA00303C642,19850727,PRCP,0,,,C,
CA00303C642,19850728,PRCP,50,,,C,
CA00303C642,19850729,PRCP,0,,,C,
CA00303C642,19850730,PRCP,0,,,C,
CA00303C642,19850731,PRCP,0,,,C,
CA00303C642,19850716,SNOW,0,,,C,
CA00303C642,19850717,SNOW,0,,,C,
CA00303C642,19850718,SNOW,0,,,C,
CA00303C642,19850719,SNOW,0,,,C,
CA00303C642,19850720,SNOW,0,,,C,
CA00303C642,19850721,SNOW,0,,,C,
CA00303C642,19850722,SNOW,0,,,C,
CA00303C642,19850723,SNOW,0,,,C,
CA00303C642,19850724,SNOW,0,,,C,
CA00303C642,19850725,SNOW,0,,,C,
CA00303C642,19850726,SNOW,0,,,C,
CA00303C642,19850727,SNOW,0,,,C,
CA00303C642,19850728,SNOW,0,,,C,
CA00303C642,19850729,SNOW,0,,,C,
CA00303C642,19850730,SNOW,0,,,C,
CA00303C642,19850731,SNOW,0,,,C,
CA00303C642,19850701,SNWD,0,,,C,
CA00303C642,19850702,SNWD,0,,,C,
CA00303C642,19850703,SNWD,0,,,C,
CA00303C642,19850704,SNWD,0,,,C,
CA00303C642,19850705,SNWD,0,,,C,
CA00303C642,19850706,SNWD,0,,,C,
CA00303C642,19850707,SNWD,0,,,C,
CA00303C642,19850708,SNWD,0,,,C,
CA00303C642,19850709,SNWD,0,,,C,
CA00303C642,19850710,SNWD,0,,,C,
CA00303C642,19850711,SNWD,0,,,C,
CA00303C642,19850712,SNWD,0,,,C,
CA00303C642,19850713,SNWD,0,,,C,
CA00303C642,19850714,SNWD,0,,,C,
CA00303C642,19850715,SNWD,0,,,C,
CA00303C642,19850716,SNWD,0,,,C,
CA00303C642,19850717,SNWD,0,,,C,
CA00303C642,19850718,SNWD,0,,,C,
CA00303C642,19850719,SNWD,0,,,C,
CA00303C642,19850720,SNWD,0,,,C,
CA00303C642,19850721,SNWD,0,,,C,
CA00303C642,19850722,SNWD,0,,,C,
CA00303C642,19850723,SNWD,0,,,C,
CA00303C642,19850724,SNWD,0,,,C,
CA00303C642,19850725,SNWD,0,,,C,
CA00303C642,19850726,SNWD,0,,,C,
CA00303C642,19850727,SNWD,0,,,C,
CA00303C642,19850728,SNWD,0,,,C,
CA00303C642,19850729,SNWD,0,,,C,
CA00303C642,19850730,SNWD,0,,,C,
CA00303C642,19850731,SNWD,0,,,C,
